Compound,SMILES,InChI,logS,Temperature,logS-dataSource,HenryConstant,HenryConstant-dataSource,nIsomers
"2,2-dimethyl-4-propylheptane",O,InChI=1S/H2O/h1H2,,25.0,,7.25e-07,https://doi.org/10.5194/acp-23-10901-2023,1
"5,5-dimethylbicyclo[2.1.1]hexane",O,InChI=1S/H2O/h1H2,,25.0,,0.000179,https://doi.org/10.5194/acp-23-10901-2023,1
"{\it cis}-1,1,2,3-tetramethylcyclopentane",O,InChI=1S/H2O/h1H2,,25.0,,7.2000000000000005e-06,https://doi.org/10.5194/acp-23-10901-2023,1
"{\it trans}-1,1,2,4-tetramethylcyclopentane",O,InChI=1S/H2O/h1H2,,25.0,,6.6e-06,https://doi.org/10.5194/acp-23-10901-2023,1
"{\it trans}-1,2,2,3-tetramethylcyclopentane",O,InChI=1S/H2O/h1H2,,25.0,,7.2000000000000005e-06,https://doi.org/10.5194/acp-23-10901-2023,1
"1,{\it cis}-2-dimethyl-{\it cis}-3-ethylcyclopentane",O,InChI=1S/H2O/h1H2,,25.0,,7.35e-06,https://doi.org/10.5194/acp-23-10901-2023,1
"1,{\it trans}-2-dimethyl-{\it trans}-3-ethylcyclopentane",O,InChI=1S/H2O/h1H2,,25.0,,6.650000000000001e-06,https://doi.org/10.5194/acp-23-10901-2023,1
"1,{\it cis}-2-dimethyl-{\it trans}-3-ethylcyclopentane",O,InChI=1S/H2O/h1H2,,25.0,,6.650000000000001e-06,https://doi.org/10.5194/acp-23-10901-2023,1
"1,{\it trans}-2-dimethyl-{\it cis}-3-ethylcyclopentane",O,InChI=1S/H2O/h1H2,,25.0,,6.05e-06,https://doi.org/10.5194/acp-23-10901-2023,1
"1,{\it cis}-3-dimethyl-{\it cis}-4-ethylcyclopentane",O,InChI=1S/H2O/h1H2,,25.0,,6.650000000000001e-06,https://doi.org/10.5194/acp-23-10901-2023,1
"1,{\it cis}-3-dimethyl-{\it trans}-4-ethylcyclopentane",O,InChI=1S/H2O/h1H2,,25.0,,5.950000000000001e-06,https://doi.org/10.5194/acp-23-10901-2023,1
"1,{\it trans}-3-dimethyl-{\it cis}-4-ethylcyclopentane",O,InChI=1S/H2O/h1H2,,25.0,,1.585e-05,https://doi.org/10.5194/acp-23-10901-2023,1
"1,{\it trans}-3-dimethyl-{\it trans}-4-ethylcyclopentane",O,InChI=1S/H2O/h1H2,,25.0,,6.650000000000001e-06,https://doi.org/10.5194/acp-23-10901-2023,1
"4,4-dimethyl-{\it cis}-2-hexene",O,InChI=1S/H2O/h1H2,,25.0,,1.15e-05,https://doi.org/10.5194/acp-23-10901-2023,1
"1,9-dimethyl-5-ethylphenanthrene",O,InChI=1S/H2O/h1H2,,25.0,,0.1,https://doi.org/10.5194/acp-23-10901-2023,1
"1,9-dimethyl-7-ethylphenanthrene",O,InChI=1S/H2O/h1H2,,25.0,,0.14,https://doi.org/10.5194/acp-23-10901-2023,1
"2,3-dimethyl-1-hexanol",O,InChI=1S/H2O/h1H2,,25.0,,0.0615,https://doi.org/10.5194/acp-23-10901-2023,1
4-ethyl-2-hexanol,O,InChI=1S/H2O/h1H2,,25.0,,0.1134999999999999,https://doi.org/10.5194/acp-23-10901-2023,1
"4,4-dimethyl-2-hexanol",O,InChI=1S/H2O/h1H2,,25.0,,0.102,https://doi.org/10.5194/acp-23-10901-2023,1
"4,5-dimethyl-2-hexanol",O,InChI=1S/H2O/h1H2,,25.0,,0.1025,https://doi.org/10.5194/acp-23-10901-2023,1
"4,5-dimethyl-3-hexanol",O,InChI=1S/H2O/h1H2,,25.0,,0.064,https://doi.org/10.5194/acp-23-10901-2023,1
2-ethyl-3-methyl-1-pentanol,O,InChI=1S/H2O/h1H2,,25.0,,0.064,https://doi.org/10.5194/acp-23-10901-2023,1
3-ethyl-2-methyl-1-pentanol,O,InChI=1S/H2O/h1H2,,25.0,,0.0625,https://doi.org/10.5194/acp-23-10901-2023,1
"2,3,3-trimethyl-1-pentanol",O,InChI=1S/H2O/h1H2,,25.0,,0.0635,https://doi.org/10.5194/acp-23-10901-2023,1
"3,3,4-trimethyl-1-pentanol",O,InChI=1S/H2O/h1H2,,25.0,,0.0725,https://doi.org/10.5194/acp-23-10901-2023,1
"2,3-dimethyl-2-ethyl-1-butanol",O,InChI=1S/H2O/h1H2,,25.0,,0.0515,https://doi.org/10.5194/acp-23-10901-2023,1
"2,5-dimethyl-4-heptanol",O,InChI=1S/H2O/h1H2,,25.0,,0.16,https://doi.org/10.5194/acp-23-10901-2023,1
3-ethyl-1-methyl-1-hexanol,O,InChI=1S/H2O/h1H2,,25.0,,0.0849999999999999,https://doi.org/10.5194/acp-23-10901-2023,1
3-methyl-5-nonanol,O,InChI=1S/H2O/h1H2,,25.0,,0.0435,https://doi.org/10.5194/acp-23-10901-2023,1
"3,3,6-trimethyl-4-heptanol",O,InChI=1S/H2O/h1H2,,25.0,,0.038,https://doi.org/10.5194/acp-23-10901-2023,1
3-ethyl-5-methyl-3-heptanol,O,InChI=1S/H2O/h1H2,,25.0,,0.0435,https://doi.org/10.5194/acp-23-10901-2023,1
"5,5-dimethyl-2-ethyl-1-hexanol",O,InChI=1S/H2O/h1H2,,25.0,,0.0289999999999999,https://doi.org/10.5194/acp-23-10901-2023,1
MCM:C8BCOH,O,InChI=1S/H2O/h1H2,,25.0,,1.59,https://doi.org/10.5194/acp-23-10901-2023,1
MCM:DE35TOH,O,InChI=1S/H2O/h1H2,,25.0,,13.333333333333334,https://doi.org/10.5194/acp-23-10901-2023,1
