Compounds,InChI
C8BCOH,"InChI=1S/C8H14O/c1-8(2)5-3-6(8)7(9)4-5/h5-7,9H,3-4H2,1-2H3"
DE35TOH,"InChI=1S/C11H16O/c1-4-10-5-8(2)6-11(7-10)9(3)12/h5-7,9,12H,4H2,1-3H3"
HO36C11,"InChI=1S/C11H24O2/c1-3-5-6-7-11(13)9-8-10(12)4-2/h10-13H,3-9H2,1-2H3"
HO36C12,"InChI=1S/C12H26O2/c1-3-5-6-7-8-12(14)10-9-11(13)4-2/h11-14H,3-10H2,1-2H3"
C622OH,"InChI=1S/C6H12O2/c1-5(2)6(3-7)4-8/h6-8H,1,3-4H2,2H3"
C624OH,"InChI=1S/C6H12O2/c1-5(2)6(8)3-4-7/h6-8H,1,3-4H2,2H3"
C720OH,"InChI=1S/C7H12O2/c1-5-2-3-6(8)4-7(5)9/h2,6-9H,3-4H2,1H3"
BCCOH,"InChI=1S/C15H26O2/c1-11-5-4-8-15(17,10-16)13-9-14(2,3)12(13)7-6-11/h5,12-13,16-17H,4,6-10H2,1-3H3/b11-5-"
METCATECH,"InChI=1S/C9H12O2/c1-3-7-4-6(2)5-8(10)9(7)11/h4-5,10-11H,3H2,1-2H3"
PETCATECH,"InChI=1S/C9H12O2/c1-3-7-5-4-6(2)8(10)9(7)11/h4-5,10-11H,3H2,1-2H3"
C3DBCO3H,"InChI=1S/C4H6O3/c1-2-3-4(5)7-6/h2-3,6H,1H3"
M22C43OOH,"InChI=1S/C6H14O2/c1-5(8-7)6(2,3)4/h5,7H,1-4H3"
M22C4OOH,"InChI=1S/C6H14O2/c1-6(2,3)4-5-8-7/h7H,4-5H2,1-3H3"
M23C4OOH,"InChI=1S/C6H14O2/c1-5(2)6(3)4-8-7/h5-7H,4H2,1-3H3"
M2C43CO3H,"InChI=1S/C6H12O3/c1-4(2)5(3)6(7)9-8/h4-5,8H,1-3H3"
M2PEAOOH,"InChI=1S/C6H14O2/c1-3-4-6(2)5-8-7/h6-7H,3-5H2,1-2H3"
M2PEBOOH,"InChI=1S/C6H14O2/c1-5(2)4-6(3)8-7/h5-7H,4H2,1-3H3"
