Compound,InChIKey,Constants,Types,Temperature
oxygen,MYMOFIZGZYHOMD-UHFFFAOYSA-N,"['1.3E-05', '1.3E-05', '1.2E-05', '1.3E-05', '1.3E-05', '1.3E-05', '1.3E-05', '1.3E-05', '1.3E-05', '1.2E-05', '1.2E-05', '1.2E-05', '1.3E-05', '1.3E-05', '1.3E-05', '1.3E-05', '1.2E-05', '1.3E-05', '1.3E-05', '1.4E-04', '1.1E-05', '1.3E-05', '1.2E-05', '1.2E-05', '1.3E-05', '1.2E-05', '1.3E-05', '1.2E-05', '1.3E-05', '1.3E-05', '1.2E-05', '1.2E-05', '1.2E-05', '1.2E-05', '1.3E-05', '1.3E-05', '1.4E-05', '7.9E-06', '1.3E-05', '1.1E-05', '1.2E-05', '1.3E-05', '1.3E-04']","['L', 'L', 'L', 'L', 'L', 'L', 'L', 'L', 'L', 'L', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'V', 'V', 'V', 'T', 'C', 'Q', '?', '?', '?', '?', '?']","[1226.85, 1226.85, 1426.85, 1226.85, 1226.85, 1126.85, 1226.85, 1226.85, 1226.85, 1126.85, 1326.85, 1326.85, 1226.85, 1126.85, 1226.85, 1226.85, 25.0, 1126.85, 1126.85, 25.0, 25.0, 1226.85, 926.85, 1326.85, 1226.85, 25.0, 1226.85, 1426.85, 1126.85, 1126.85, 1526.85, 926.85, 1326.85, 1326.85, 1226.85, 25.0, 25.0, 25.0, 1226.85, 25.0, 1226.85, 25.0, 25.0]"
ozone,CBENFWSGALASAD-UHFFFAOYSA-N,"['1.0E-04', '1.0E-04', '1.0E-04', '1.0E-04', '7.6E-05', '1.1E-04', '1.3E-04', '1.1E-04', '1.1E-04', '9.9E-05', '9.2E-05', '1.2E-04', '1.1E-04', '1.7E-04', '1.2E-04', '9.9E-05', '1.3E-04', '2.0E-04', '8.0E-05', '1.2E-04', '1.2E-04', '1.1E-04', '1.2E-04', '1.2E-04', '9.3E-05', '9.3E-05']","['L', 'L', 'L', 'L', 'L', 'L', 'L', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'T', 'X', 'Q', '?', '?']","[2526.85, 2526.85, 2526.85, 2526.85, 3426.85, 2126.85, 1726.85, 25.0, 2026.85, 2326.85, 2326.85, 1126.85, 2026.85, 25.0, 1626.85, 2326.85, 1726.85, 25.0, 2626.85, 3826.85, 25.0, 2326.85, 25.0, 25.0, 2226.85, 2226.85]"
hydrogen atom,YZCKVEUIGOORGS-UHFFFAOYSA-N,"['2.6E-06', '2.6E-06', '2.6E-06', '2.6E-06', '3.1E-06', '3.4E-06']","['L', 'L', 'L', 'L', 'T', 'E']","[25.0, 25.0, 25.0, 25.0, 25.0, 25.0]"
hydrogen,UFHFLCQGNIYNRP-UHFFFAOYSA-N,"['7.8E-06', '7.7E-06', '7.7E-06', '7.8E-06', '7.8E-06', '7.7E-06', '7.7E-06', '7.2E-06', '7.2E-06', '7.5E-06', '7.8E-06', '7.8E-06', '7.7E-06', '7.7E-06', '7.5E-06', '7.8E-06', '8.5E-06', '7.8E-06', '7.7E-06', '8.3E-06', '6.4E-06', '7.7E-06', '7.7E-06', '7.7E-06']","['L', 'L', 'L', 'L', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'V', 'R', 'T', 'Q', '?', '?', '?']","[256.85, 216.85000000000002, 216.85000000000002, 326.85, 346.85, 206.85000000000002, 246.85000000000002, 25.0, 25.0, 25.0, 236.85000000000002, 266.85, 1226.85, 226.85000000000002, 276.85, 336.85, -253.14999999999998, 226.85000000000002, 25.0, 25.0, 25.0, 216.85000000000002, 25.0, 226.85000000000002]"
deuterium,UFHFLCQGNIYNRP-VVKOMZTBSA-N,"['7.9E-06', '7.9E-06', '8.2E-06']","['M', 'M', 'Q']","[446.85, 446.85, 25.0]"
hydroxyl radical,TUJKJAMUKRIRHC-UHFFFAOYSA-N,"['3.8E-01', '3.8E-01', '3.8E-01', '3.8E-01', '2.9E-01', '3.2E-01', '2.9E-01', '2.5E-01', '2.0E+00', '8.9E+01', '2.5E-01']","['T', 'T', 'T', 'T', 'T', 'T', 'T', 'C', 'C', 'C', 'C']","[25.0, 25.0, 25.0, 25.0, 4026.85, 25.0, 2826.85, 25.0, 25.0, 25.0, 5026.85]"
hydroperoxy radical,MHAJPDPJQMAIIY-UHFFFAOYSA-M,"['5.7E+01', '6.8E+00', '6.8E+00', '6.8E+00', '6.8E+00', '3.8E+01', '8.9E+01', '8.9E+01', '1.2E+01', '4.6E+01']","['R', 'T', 'T', 'T', 'T', 'T', 'T', 'T', 'T', 'T']","[25.0, 25.0, 25.0, 25.0, 25.0, 5626.85, 25.0, 25.0, 25.0, 4526.85]"
hydrogen peroxide,MHAJPDPJQMAIIY-UHFFFAOYSA-N,"['8.6E+02', '8.6E+02', '9.5E+02', '9.1E+02', '8.3E+02', '7.6E+02', '9.8E+02', '1.2E+03', '1.1E+03', '8.2E+02', '9.9E+02', '8.5E+02', '6.7E+02', '1.4E+03', '9.6E+02', '7.0E+02', '6.4E+01', '7.0E+02', '7.0E+02']","['L', 'L', 'L', 'L', 'L', 'L', 'L', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'T', 'T', 'Q', '?', '?']","[7026.85, 7026.85, 6926.85, 6326.85, 7326.85, 7026.85, 5826.85, 5626.85, 6726.85, 7126.85, 6026.85, 6226.85, 7626.85, 25.0, 6326.85, 6726.85, 25.0, 7026.85, 7026.85]"
nitrogen,IJGRMHOSHXDMSA-UHFFFAOYSA-N,"['6.4E-06', '6.4E-06', '6.4E-06', '6.4E-06', '6.4E-06', '6.5E-06', '6.5E-06', '6.5E-06', '6.4E-06', '5.4E-06', '6.5E-06', '6.3E-06', '6.4E-06', '6.6E-06', '5.5E-06', '6.4E-06', '6.5E-06', '6.6E-06', '6.5E-06', '5.6E-06', '6.4E-06', '6.3E-06', '6.3E-06', '6.7E-06', '5.8E-06', '6.4E-06', '6.5E-06', '6.5E-06', '7.2E-06', '5.6E-06', '6.4E-06', '6.3E-06', '5.7E-06', '6.3E-06']","['L', 'L', 'L', 'L', 'L', 'L', 'L', 'L', 'L', 'L', 'L', 'L', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'V', 'V', 'T', 'C', 'Q', '?', '?', '?', '?']","[1026.85, 1026.85, 1326.85, 1026.85, 1026.85, 926.85, 926.85, 926.85, 1026.85, 25.0, 1126.85, 1026.85, 1026.85, 1026.85, 25.0, 1026.85, 1126.85, 25.0, 826.85, 25.0, 926.85, 1926.85, 1026.85, 1126.85, 926.85, 1026.85, 1026.85, 25.0, 25.0, 25.0, 1326.85, 926.85, 25.0, 1026.85]"
ammonia,QGZKDVFQNNGYKY-UHFFFAOYSA-N,"['5.9E-01', '5.9E-01', '5.9E-01', '5.9E-01', '5.8E-01', '6.0E-01', '1.0E-01', '2.8E-01', '9.9E+00', '6.0E-01', '5.5E-01', '7.7E-01', '7.4E-01', '5.6E-01', '5.7E-01', '5.9E-01', '6.1E-01', '2.9E-01', '2.7E-01', '5.7E-01', '6.1E-01', '5.8E-01', '5.2E-01']","['L', 'L', 'L', 'L', 'L', 'L', 'L', 'M', 'M', 'M', 'M', 'M', 'M', 'T', 'T', 'T', 'X', 'Q', '?', '?', '?', '?', '?']","[3926.85, 3926.85, 3926.85, 3926.85, 4126.85, 3926.85, 1226.85, 2926.85, 6326.85, 3926.85, 3826.85, 25.0, 3426.85, 3926.85, 3826.85, 3826.85, 25.0, 25.0, 2126.85, 25.0, 3826.85, 3826.85, 25.0]"
