,mean,numNonZero,percNonZero,std,min,25%,50%,75%,max
fr_C_O,0.561973018549747,3281,34.52,0.8953671246351323,0.0,0.0,0.0,1.0,7.0
fr_allylic_oxid,2.247892074198988,3236,34.04,4.045031617750814,0.0,0.0,0.0,3.0,45.0
fr_C_O_noCOO,0.5261382799325464,3139,33.02,0.8678654505406308,0.0,0.0,0.0,1.0,7.0
fr_Al_OH,0.35803119730185495,2663,28.01,0.6726734083962309,0.0,0.0,0.0,1.0,17.0
fr_halogen,1.015704047217538,2358,24.81,2.424851571449507,0.0,0.0,0.0,0.0,37.0
fr_Al_OH_noTert,0.28636172006745364,2281,24.0,0.5742952479242874,0.0,0.0,0.0,0.0,17.0
fr_ether,0.22976391231028667,1795,18.88,0.5685917531592245,0.0,0.0,0.0,0.0,20.0
fr_NH0,0.22786677908937605,1737,18.27,0.5387241195551662,0.0,0.0,0.0,0.0,5.0
fr_ketone,0.24652192242833051,1720,18.09,0.5808134675774448,0.0,0.0,0.0,0.0,5.0
fr_ketone_Topliss,0.2208052276559865,1568,16.49,0.5490980797420633,0.0,0.0,0.0,0.0,5.0
fr_aldehyde,0.1207841483979764,1018,10.71,0.365241893496389,0.0,0.0,0.0,0.0,3.0
fr_unbrch_alkane,0.39376053962900504,990,10.41,1.7415764417839352,0.0,0.0,0.0,0.0,35.0
fr_alkyl_halide,0.40335160202360876,886,9.32,1.9121469166980356,0.0,0.0,0.0,0.0,37.0
fr_bicyclic,0.29964165261382797,871,9.16,1.096345337060416,0.0,0.0,0.0,0.0,14.0
fr_ester,0.0733558178752108,587,6.18,0.30679462511672456,0.0,0.0,0.0,0.0,6.0
fr_COO2,0.03868043844856661,340,3.58,0.20758370842611837,0.0,0.0,0.0,0.0,3.0
fr_COO,0.038153456998313656,335,3.52,0.20640846230603827,0.0,0.0,0.0,0.0,3.0
fr_Al_COO,0.038153456998313656,335,3.52,0.20640846230603827,0.0,0.0,0.0,0.0,3.0
fr_methoxy,0.03962900505902192,325,3.42,0.22519202166476007,0.0,0.0,0.0,0.0,4.0
