,mean,numNonZero,percNonZero,std,min,25%,50%,75%,max
fr_allylic_oxid,3.009871668311945,10254,48.16,4.256424070759599,0.0,0.0,0.0,5.0,45.0
fr_C_O,0.6273680251962581,8888,41.75,0.8870263975771094,0.0,0.0,0.0,1.0,9.0
fr_C_O_noCOO,0.5248907065294035,7550,35.46,0.8378579478140376,0.0,0.0,0.0,1.0,9.0
fr_Al_OH,0.474592206082828,6797,31.92,0.9367581579735912,0.0,0.0,0.0,1.0,24.0
fr_NH0,0.5387580501104686,6378,29.96,1.0481159781224216,0.0,0.0,0.0,1.0,12.0
fr_ether,0.4218963004747802,6033,28.34,0.8748953814649976,0.0,0.0,0.0,1.0,20.0
fr_Al_OH_noTert,0.37338410191322335,5945,27.92,0.7237706984942381,0.0,0.0,0.0,1.0,17.0
fr_halogen,0.8148357072345226,5159,24.23,2.0536206875418745,0.0,0.0,0.0,0.0,37.0
fr_bicyclic,0.4791989846284022,2955,13.88,1.4710929914978763,0.0,0.0,0.0,0.0,25.0
fr_ketone,0.17895924411225497,2832,13.3,0.5065248463530219,0.0,0.0,0.0,0.0,6.0
fr_Imine,0.19362572274714426,2684,12.61,0.5908229980021472,0.0,0.0,0.0,0.0,6.0
fr_ester,0.16048512198561557,2683,12.6,0.4751290769744849,0.0,0.0,0.0,0.0,8.0
fr_ketone_Topliss,0.15766464532505994,2562,12.03,0.4726037506941359,0.0,0.0,0.0,0.0,6.0
fr_unbrch_alkane,0.4916560898791896,2374,11.15,2.2098531549264866,0.0,0.0,0.0,0.0,43.0
fr_NH1,0.1256052272834109,1937,9.1,0.45667826861555577,0.0,0.0,0.0,0.0,10.0
fr_COO2,0.10741315282282705,1883,8.84,0.3738817440919556,0.0,0.0,0.0,0.0,6.0
fr_COO,0.10680204954637333,1872,8.79,0.3729869967036082,0.0,0.0,0.0,0.0,6.0
fr_Al_COO,0.10680204954637333,1872,8.79,0.3729869967036082,0.0,0.0,0.0,0.0,6.0
fr_alkyl_halide,0.32285056174493487,1810,8.5,1.5808810689046315,0.0,0.0,0.0,0.0,37.0
fr_methoxy,0.08607154609128943,1388,6.52,0.3702074344521447,0.0,0.0,0.0,0.0,10.0
fr_NH2,0.06853758285150191,1254,5.89,0.29554739183734224,0.0,0.0,0.0,0.0,6.0
fr_aldehyde,0.06430686786066846,1235,5.8,0.2697647949634356,0.0,0.0,0.0,0.0,3.0
fr_amide,0.08903304658487285,1202,5.65,0.4233995488537384,0.0,0.0,0.0,0.0,7.0
fr_amidine,0.06101631175668688,1047,4.92,0.2948091110633391,0.0,0.0,0.0,0.0,6.0
fr_nitro,0.05170873877685329,841,3.95,0.2847774138008938,0.0,0.0,0.0,0.0,6.0
fr_sulfide,0.03882856202698256,736,3.46,0.2152872705584406,0.0,0.0,0.0,0.0,3.0
