,mean,numNonZero,percNonZero,std,min,25%,50%,75%,max
fr_allylic_oxid,3.4691466083150986,5452,59.65,4.196590138065331,0.0,0.0,2.0,5.0,40.0
fr_C_O,0.7759299781181619,4920,53.83,0.9062103873453549,0.0,0.0,1.0,1.0,9.0
fr_NH0,0.8694748358862144,3898,42.65,1.3241998114030968,0.0,0.0,0.0,1.0,12.0
fr_C_O_noCOO,0.5932166301969365,3862,42.25,0.8468177353792623,0.0,0.0,0.0,1.0,9.0
fr_Al_OH,0.6391684901531729,3554,38.88,1.1584207738088708,0.0,0.0,0.0,1.0,24.0
fr_ether,0.6333698030634574,3553,38.87,1.0834742383729383,0.0,0.0,0.0,1.0,16.0
fr_Al_OH_noTert,0.49529540481400436,3125,34.19,0.8603557552832937,0.0,0.0,0.0,1.0,13.0
fr_Imine,0.36958424507658644,2172,23.76,0.784432766593781,0.0,0.0,0.0,0.0,6.0
fr_ester,0.263019693654267,1866,20.42,0.5974103079940201,0.0,0.0,0.0,0.0,8.0
fr_halogen,0.47833698030634575,1856,20.31,1.3864234204082815,0.0,0.0,0.0,0.0,21.0
fr_bicyclic,0.6969365426695843,1771,19.38,1.808374163719373,0.0,0.0,0.0,0.0,25.0
fr_NH1,0.2388402625820569,1559,17.06,0.6159789789464611,0.0,0.0,0.0,0.0,10.0
fr_COO2,0.19080962800875273,1391,15.22,0.49477276450373064,0.0,0.0,0.0,0.0,6.0
fr_COO,0.1900437636761488,1386,15.16,0.4938503514799936,0.0,0.0,0.0,0.0,6.0
fr_Al_COO,0.1900437636761488,1386,15.16,0.4938503514799936,0.0,0.0,0.0,0.0,6.0
fr_unbrch_alkane,0.5670678336980306,1076,11.77,2.542297559545659,0.0,0.0,0.0,0.0,43.0
fr_amide,0.17625820568927789,1010,11.05,0.5866300454491907,0.0,0.0,0.0,0.0,7.0
fr_ketone,0.14037199124726477,980,10.72,0.4526976846644981,0.0,0.0,0.0,0.0,6.0
fr_NH2,0.12417943107221006,978,10.7,0.3877510052547282,0.0,0.0,0.0,0.0,5.0
fr_methoxy,0.1323851203501094,883,9.66,0.4689522191745496,0.0,0.0,0.0,0.0,10.0
fr_ketone_Topliss,0.11991247264770241,877,9.6,0.412170671486122,0.0,0.0,0.0,0.0,6.0
fr_amidine,0.11903719912472648,875,9.57,0.4041159729484971,0.0,0.0,0.0,0.0,6.0
