,mean,numNonZero,percNonZero,std,min,25%,50%,75%,max
fr_allylic_oxid,4.186890362856028,1536,59.93,4.653047464715588,0.0,0.0,4.0,7.0,36.0
fr_halogen,1.2805306281701132,936,36.52,2.3478941083628473,0.0,0.0,0.0,2.0,21.0
fr_NH0,0.4736636753804136,683,26.65,0.9517993760963002,0.0,0.0,0.0,1.0,8.0
fr_ether,0.36207569254779554,663,25.87,0.7123297302104034,0.0,0.0,0.0,1.0,6.0
fr_C_O,0.3355442840421381,658,25.67,0.6332671549272588,0.0,0.0,0.0,1.0,4.0
fr_C_O_noCOO,0.2719469371829887,524,20.44,0.5911964689870883,0.0,0.0,0.0,0.0,4.0
fr_Al_OH,0.2520483808037456,511,19.94,0.5891209748678011,0.0,0.0,0.0,0.0,6.0
fr_Al_OH_noTert,0.22278579789309402,473,18.45,0.509775367025069,0.0,0.0,0.0,0.0,4.0
fr_unbrch_alkane,0.5985173624658603,307,11.98,2.484603201770612,0.0,0.0,0.0,0.0,42.0
fr_Imine,0.17089348419820521,289,11.28,0.5457767219826017,0.0,0.0,0.0,0.0,4.0
fr_alkyl_halide,0.3901677721420211,283,11.04,1.6429814567059535,0.0,0.0,0.0,0.0,21.0
fr_bicyclic,0.314865392118611,257,10.03,1.102637464822028,0.0,0.0,0.0,0.0,10.0
fr_ester,0.11705033164260632,222,8.66,0.4157726085550554,0.0,0.0,0.0,0.0,4.0
fr_NH1,0.10963714397190792,203,7.92,0.42748650979801367,0.0,0.0,0.0,0.0,6.0
fr_methoxy,0.08934841982052283,172,6.71,0.3613549031990616,0.0,0.0,0.0,0.0,4.0
fr_NH2,0.07140070230198986,156,6.09,0.29957924662969593,0.0,0.0,0.0,0.0,4.0
fr_COO2,0.06515801794771751,145,5.66,0.28501380535659165,0.0,0.0,0.0,0.0,4.0
fr_COO,0.0647678501755755,144,5.62,0.2844174077906516,0.0,0.0,0.0,0.0,4.0
fr_Al_COO,0.0647678501755755,144,5.62,0.2844174077906516,0.0,0.0,0.0,0.0,4.0
fr_nitro,0.07920405774483028,143,5.58,0.3722002308140506,0.0,0.0,0.0,0.0,6.0
fr_ketone,0.06593835349200156,123,4.8,0.31601565333655274,0.0,0.0,0.0,0.0,3.0
fr_amidine,0.059695669137729224,123,4.8,0.29294765821478,0.0,0.0,0.0,0.0,3.0
