Target,MSE,R2
MinMaxLog_Log.csv,0.11111457153322706,0.4653501742624362
MinMaxLog_MaxAbsScaler().csv,0.11624714138456252,0.43838400946733724
MinMaxLog_None.csv,0.10945652974761354,0.4860704857366569
MinMaxLog_PowerTransformer().csv,0.11417247716738413,0.4706336690188462
MinMaxLog_PowerTransformer(standardize=False).csv,0.11455094352214922,0.44590625756005753
MinMaxLog_RobustScaler().csv,0.12347155385466486,0.4253924141136335
MinMaxLog_StandardScaler().csv,0.10372160621564518,0.4610230465545715
MinMax_Log.csv,7965.826821657373,0.6703496666976604
MinMax_MaxAbsScaler().csv,9195.625019392863,0.5842950846114172
MinMax_None.csv,10058.560517716141,0.6164024268957808
MinMax_PowerTransformer().csv,8113.882903556304,0.6794988734800804
MinMax_PowerTransformer(standardize=False).csv,9597.299690357613,0.6189564852140067
MinMax_RobustScaler().csv,7957.886105742892,0.6366377748038934
MinMax_StandardScaler().csv,8978.257447072476,0.6397290844244281
NormLog_Log.csv,0.10414963147448054,0.4835733753932828
NormLog_MaxAbsScaler().csv,0.10884448245835675,0.4528110213879889
NormLog_None.csv,0.11100070486708631,0.4369602353949831
NormLog_PowerTransformer().csv,0.10679660294475353,0.4723734696142722
NormLog_PowerTransformer(standardize=False).csv,0.10880148585836343,0.47342941950180184
NormLog_RobustScaler().csv,0.1035978841729903,0.5046236010538194
NormLog_StandardScaler().csv,0.12330905537064543,0.4408771877474773
Norm_Log.csv,9163.052839886375,0.5934142552140522
Norm_MaxAbsScaler().csv,8327.096900082008,0.6628455030084094
Norm_None.csv,6714.289024998682,0.6836258700348133
Norm_PowerTransformer().csv,7777.7680801353,0.6369543421905737
Norm_PowerTransformer(standardize=False).csv,6574.146069002665,0.5940184715385946
Norm_RobustScaler().csv,9449.717440024295,0.5775780628079247
Norm_StandardScaler().csv,9563.41845108159,0.6345596425838733
