Target,MSE,R2
0.1.1_MinMaxLog_Log.csv,0.11530716757052553,0.24222571237426582
0.1.1_MinMaxLog_MaxAbsScaler().csv,0.13119499658457456,0.20911356433016348
0.1.1_MinMaxLog_None.csv,0.1207501746840026,0.21963738292968582
0.1.1_MinMaxLog_PowerTransformer().csv,0.1252580875471705,0.2444790177886259
0.1.1_MinMaxLog_PowerTransformer(standardize=False).csv,0.1310668553937621,0.23901688065213622
0.1.1_MinMaxLog_RobustScaler().csv,0.12538183535010075,0.2003742383097128
0.1.1_MinMaxLog_StandardScaler().csv,0.1277433552481427,0.21451455947265718
0.1.1_MinMax_MaxAbsScaler().csv,5312.279522761739,0.18463693361040268
0.1.1_MinMax_None.csv,5304.461252332278,0.1673980917468224
0.1.1_MinMax_PowerTransformer().csv,4980.986101221523,0.21118265199354203
0.1.1_MinMax_PowerTransformer(standardize=False).csv,5118.102089201293,0.19547512031139713
0.1.1_MinMax_RobustScaler().csv,5099.109167932524,0.20330449749306745
0.1.1_MinMax_StandardScaler().csv,5181.474903335485,0.2011251466348657
0.1.1_NormLog_Log.csv,0.1300665171541839,0.18473869086988204
0.1.1_NormLog_MaxAbsScaler().csv,0.11956753388429903,0.22009393315832515
0.1.1_NormLog_None.csv,0.12574069703594962,0.2326301811823852
0.1.1_NormLog_PowerTransformer().csv,0.12031726156601742,0.21860637274131867
0.1.1_NormLog_PowerTransformer(standardize=False).csv,0.1281245468153542,0.23146043835284313
0.1.1_NormLog_RobustScaler().csv,0.13054638223334936,0.2108820769246843
0.1.1_NormLog_StandardScaler().csv,0.11945197695064111,0.22277923006166478
0.1.1_Norm_MaxAbsScaler().csv,5283.0298560981055,0.17958847985444992
0.1.1_Norm_None.csv,5239.540618187745,0.17991201120558298
0.1.1_Norm_PowerTransformer().csv,4995.1462440985,0.18589880048372964
0.1.1_Norm_PowerTransformer(standardize=False).csv,4960.0715175426185,0.19118223034654103
0.1.1_Norm_RobustScaler().csv,5112.974562937404,0.20959762236142554
0.1.1_Norm_StandardScaler().csv,5145.657552891597,0.1926460939640886
