Target,MSE,R2
MinMaxLog_Log.csv,0.7364466359626243,0.33235660784935483
MinMaxLog_MaxAbsScaler().csv,0.7382053130918786,0.32448713811258956
MinMaxLog_None.csv,0.6909007568545834,0.3247478628361534
MinMaxLog_PowerTransformer().csv,0.7429273085059335,0.314191236126788
MinMaxLog_PowerTransformer(standardize=False).csv,0.7345110805561715,0.3071845500648811
MinMaxLog_RobustScaler().csv,0.7473556765048451,0.314934812217727
MinMaxLog_StandardScaler().csv,0.7179386028548589,0.3133503817708544
MinMax_Log.csv,2648.990396418483,0.708331607401887
MinMax_MaxAbsScaler().csv,2560.4845643438593,0.7116338329586975
MinMax_None.csv,2673.668806741766,0.6991117551973158
MinMax_PowerTransformer().csv,2640.8744532931346,0.6970814063193198
MinMax_PowerTransformer(standardize=False).csv,2576.9558734578145,0.7111283762023218
MinMax_RobustScaler().csv,2285.8882816059913,0.7117760500763635
MinMax_StandardScaler().csv,2553.747691678782,0.7189374046354067
NormLog_Log.csv,0.7285533452976856,0.3327135446702245
NormLog_MaxAbsScaler().csv,0.7162305367046191,0.32962743475218503
NormLog_None.csv,0.7011992518224794,0.3214989262028397
NormLog_PowerTransformer().csv,0.6877367731347974,0.3449670812621065
NormLog_PowerTransformer(standardize=False).csv,0.7031836954721368,0.33843932537519983
NormLog_RobustScaler().csv,0.7306679996481008,0.32708652265676563
NormLog_StandardScaler().csv,0.7099411777266115,0.34024450299101583
Norm_Log.csv,2538.3241034961716,0.7284539233263198
Norm_MaxAbsScaler().csv,2469.680988935827,0.728544044882046
Norm_None.csv,2467.97721001522,0.7278373261419864
Norm_PowerTransformer().csv,2384.295961114351,0.738013133105261
Norm_PowerTransformer(standardize=False).csv,2555.100647731927,0.721414851819368
Norm_RobustScaler().csv,2554.221322378554,0.7177528295142142
Norm_StandardScaler().csv,2260.114648880694,0.7351032378130481
