,1,15,29,43,57,71,85,99,113,127
r2,0.12094877379513835,0.7975945497711566,0.8165243815123798,0.8209726459460843,0.8238302947905722,0.8265408791152837,0.8292956945372101,0.8295626998294267,0.8267258900157558,0.8223292105099068
mse,40.41945204458128,9.30675840634118,8.436350171340266,8.231815548556138,8.100418654965871,7.975783901200183,7.849115367536963,7.83683825866927,7.967276957581391,8.1694396656744
1,,,,,,,,,,
14,,,,,,,,,,
27,,,,,,,,,,
40,,,,,,,,,,
53,,,,,,,,,,
67,,,,,,,,,,
80,,,,,,,,,,
93,,,,,,,,,,
106,,,,,,,,,,
120,,,,,,,,,,
